Organization / Organisation,deleted_record_count
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,1663
Environment and Climate Change Canada | Environnement et Changement climatique Canada,329
Fisheries and Oceans Canada | Pêches et Océans Canada,206
Parks Canada | Parcs Canada,192
Government and Municipalities of Québec | Gouvernement et municipalités du Québec,112
Library and Archives Canada | Bibliothèque et Archives Canada,108
Communications Security Establishment Canada | Centre de la sécurité des télécommunications Canada,98
Canada Revenue Agency | Agence du revenu du Canada,83
Employment and Social Development Canada | Emploi et Développement social Canada,81
Department of Finance Canada | Ministère des Finances Canada,74
Health Canada | Santé Canada,69
Global Affairs Canada | Affaires mondiales Canada,68
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,55
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,55
Veterans Affairs Canada | Anciens Combattants Canada,52
Public Health Agency of Canada | Agence de la santé publique du Canada,51
Natural Resources Canada | Ressources naturelles Canada,50
Government of Alberta | Gouvernement de l'Alberta,45
Transportation Safety Board of Canada | Bureau de la sécurité des transports du Canada,33
Canada Energy Regulator | La Régie de l’énergie du Canada,30
Government of Ontario | Gouvernement de l'Ontario,26
Public Service Commission of Canada | Commission de la fonction publique du Canada,25
Government of Manitoba | Gouvernement du Manitoba,24
Government of Nova Scotia | Gouvernment de la Nouvelle-Écosse,24
Department of Justice Canada | Ministère de la Justice Canada,22
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",20
Canadian Space Agency | Agence spatiale canadienne,19
Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,17
Statistics Canada | Statistique Canada,17
Canadian Heritage | Patrimoine canadien,16
Shared Services Canada | Services partagés Canada,15
Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada,13
National Defence | Défense nationale,13
Public Services and Procurement Canada | Services publics et Approvisionnement Canada,12
Government of Saskatchewan | Gouvernement de la Saskatchewan,11
Government of Yukon | Gouvernement du Yukon,11
Government of New Brunswick | Gouvernement du Nouveau-Brunswick,10
Indigenous Services Canada | Services aux Autochtones Canada,10
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,9
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,9
Elections Canada | Élections Canada,8
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",8
Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada,8
2875039 Canada Limited | 2875039 Canada Limited,7
Canadian Grain Commission | Commission canadienne des grains,7
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,7
Correctional Service of Canada | Service correctionnel du Canada,7
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,7
Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada,7
Assisted Human Reproduction Canada | Procréation Assistée Canada,6
Office of the Commissioner of Official Languages | Commissariat aux langues officielles,6
Royal Canadian Mounted Police | Gendarmerie royale du Canada,6
Canada School of Public Service | École de la fonction publique du Canada,5
Canadian Institute of Health Information | Institut canadien d'information sur la santé,5
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,5
Government of British Columbia | Gouvernment de la Colombie-Britannique,5
Transport Canada | Transports Canada,5
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,4
National Research Council Canada | Conseil national de recherches Canada,4
Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada,4
Public Prosecution Service of Canada | Service des poursuites pénales du Canada,4
3Net Indy Holdings | 3Net Indy Holdings,3
Canada Border Services Agency | Agence des services frontaliers du Canada,3
Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada,3
Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,3
Federal Bridge Corporation | Société des ponts fédéraux,3
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,3
3906949 Canada Inc. | 3906949 Canada Inc.,2
Bank of Canada | Banque du Canada,2
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2
Canada Mortgage and Housing Corporation | Société canadienne d'hypothèques et de logement,2
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2
Department for Women and Gender Equality | Ministère des Femmes et de l’Égalité des genres,2
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2
International Development Research Centre | Centre de recherches pour le développement international,2
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada,2
Privy Council Office | Bureau du Conseil privé,2
Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada,2
3Net Indy Investments Inc. | 3Net Indy Investments Inc.,1
Asia-Pacific Foundation of Canada | Fondation Asie Pacifique du Canada,1
Atlantic Pilotage Authority Canada | Administration de pilotage de l'Atlantique Canada,1
Business Development Bank of Canada | Banque de développement du Canada,1
Canada Agricultural Review Tribunal | Commission de révision agricole du Canada,1
Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiène et de sécurité au travail,1
Canadian Security Intelligence Service | Service canadien du renseignement de sécurité,1
Copyright Board Canada | Commission du droit d'auteur du Canada,1
Defence Construction Canada | Construction de Défense Canada,1
Defence Research and Development Canada | Recherche et développement pour la Défense Canada,1
Destination Canada | Destination Canada,1
External User | Utilisateur externe,1
Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de réfugié du Canada,1
Office of the Privacy Commissioner of Canada | Commissariats à l’information et à la protection de la vie privée au Canada,1
Parole Board of Canada | Commission des libérations conditionnelles du Canada,1
Public Safety Canada | Sécurité publique Canada,1
Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel),1
